epoch,loss
0,0.00272425892115
1,0.00317759034925
2,0.000496992652147
3,0.000303177487983
4,0.000275641370986
5,0.000269080386648
6,0.00026773550116
7,0.000267915326671
8,0.000268506783786
9,0.000269239216529
10,0.000270142462526
11,0.000271336440196
12,0.000272863824531
13,0.000274794505674
14,0.000277021742384
15,0.000279551316669
16,0.000282254576587
17,0.000285150796293
18,0.000288075927843
19,0.000290967631325
20,0.000293757887188
21,0.000296352358015
22,0.000298716963796
23,0.000300865011527
24,0.000302736055936
25,0.000304357860751
26,0.0003056832722
27,0.000306806245783
28,0.000307672662549
29,0.000308416453448
30,0.000308934113247
31,0.000309321780281
32,0.000309615803829
33,0.000309828745722
34,0.000309989451149
35,0.000310066561282
36,0.000310101767748
37,0.00031010666301
38,0.000310060272286
39,0.000310003311975
40,0.000309911371629
41,0.000309825248411
42,0.000309702684609
43,0.00030957528629
44,0.000309417013725
45,0.000309246923145
46,0.000309066868729
47,0.000308858554722
48,0.000308618817044
49,0.000308360597501
50,0.000308145677705
51,0.000307862830398
52,0.000307567444502
53,0.000307282582051
54,0.000307007030996
55,0.000306751807149
56,0.000306448353189
57,0.000306152605772
58,0.000305907705906
59,0.000305599891584
