epoch,loss
0,0.0251169260722
1,0.00705783175104
2,0.00376835784036
3,0.00211187119233
4,0.00133875386346
5,0.000998643627117
6,0.000853836785549
7,0.000794559050339
8,0.000774345382093
9,0.00077298776451
10,0.000780849548733
11,0.00079276005098
12,0.000805744847649
13,0.000817924351464
14,0.000828292344985
15,0.000836258864308
16,0.000841814347297
17,0.000845087801449
18,0.000846497911394
19,0.000846432443858
20,0.000845389357494
21,0.000843638602063
22,0.000841418772304
23,0.000839075125938
24,0.00083661722276
25,0.000834236996287
26,0.000831959574845
27,0.000829857884647
28,0.000827972828294
29,0.00082622978055
30,0.000824624391765
31,0.000823020333841
32,0.000821398626737
33,0.000819833112076
34,0.000818198439656
35,0.000816596441056
36,0.000814995790466
37,0.00081341565771
38,0.00081177862268
39,0.000810173971719
40,0.000808542002005
41,0.000806946973437
42,0.000805346944064
43,0.000803832811567
44,0.000802270469833
45,0.00080073649456
46,0.00079925627605
47,0.000797732256826
48,0.000796255668536
49,0.000794838962482
50,0.00079338050121
51,0.000791931243173
52,0.000790574783973
53,0.000789136521972
54,0.000787748404695
55,0.000786422595614
56,0.000785135103136
57,0.000783800060681
58,0.00078249523011
59,0.000781217724652
